Name,Role_Top,Role_Jungle,Role_Middle,Role_Bottom,Role_Support,Tag_Assassin,Tag_Fighter,Tag_Mage,Tag_Marksman,Tag_Support,Tag_Tank,Is_Ranged,Res_Mana,Res_Energy,Res_Other,Base HP,HP per lvl,Base mana,Mana per lvl,Movement speed,Base armor,Armor per lvl,Base magic resistance,Magic resistance per lvl,Attack range,HP regeneration,HP regeneration per lvl,Mana regeneration,Mana regeneration per lvl,Attack damage,Attack damage per lvl,Attack speed per lvl,Attack speed,AS ratio
Varus,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,600,105,360,40.0,330,27,4.6,30,1.3,575,3.5,0.55,8.0,0.8,57,3.4,3.5,0.658,0.658
Vayne,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,550,103,232,35.0,330,23,4.6,30,1.3,550,3.5,0.55,7.0,0.4,60,2.35,3.3,0.658,0.658
Veigar,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,580,108,490,26.0,340,18,5.2,32,1.3,550,6.5,0.6,8.0,0.8,52,2.7,2.24,0.625,0.625
Vel'Koz,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,590,102,469,21.0,340,22,4.7,30,1.3,525,5.5,0.55,8.0,0.8,55,3.1416,1.59,0.643,0.625
Vex,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,590,104,490,32.0,335,23,4.45,28,1.3,550,6.5,0.6,6.0,0.8,54,2.75,1.0,0.669,0.625
Vi,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,655,99,295,65.0,340,30,4.7,32,2.05,125,10.0,1.0,8.0,0.65,63,3.0,2.0,0.644,0.644
Viego,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,630,109,0,0.0,345,34,5.2,32,2.05,200,7.0,0.7,0.0,0.0,57,3.5,2.5,0.658,0.658
Viktor,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,600,104,405,45.0,335,23,5.2,30,1.3,525,8.0,0.65,8.0,0.8,53,3.0,2.11,0.658,0.658
Vladimir,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,607,110,2,0.0,330,27,4.5,30,1.3,450,7.0,0.6,0.0,0.0,55,3.0,2.0,0.658,0.658
Volibear,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,650,104,350,70.0,340,31,5.2,32,2.05,150,9.0,0.75,6.25,0.5,60,3.5,2.0,0.625,0.7
Warwick,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,620,99,280,35.0,335,33,4.4,32,2.05,125,4.0,0.75,7.45,0.6,65,3.0,2.3,0.638,0.638
Wukong,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,610,99,300,65.0,340,31,4.7,28,2.05,175,3.5,0.65,8.0,0.8,66,3.5,3.0,0.69,0.658
Xayah,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,630,107,340,40.0,330,25,4.2,30,1.3,525,3.25,0.75,8.25,0.8,60,3.5,3.9,0.658,0.658
Xerath,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,596,106,400,22.0,340,22,4.7,30,1.3,525,5.5,0.55,6.85,0.8,55,3.0,1.36,0.658,0.625
Xin Zhao,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,640,106,274,55.0,345,35,4.7,32,2.05,175,8.0,0.7,7.25,0.45,63,3.0,3.5,0.645,0.645
Yasuo,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,590,110,100,0.0,345,30,4.6,32,2.05,175,6.5,0.9,0.0,0.0,60,3.0,3.5,0.697,0.67
Yone,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,620,105,500,0.0,345,33,4.6,32,2.05,175,7.5,0.75,0.0,0.0,60,2.0,3.5,0.625,0.625
Yorick,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,650,114,300,60.0,340,39,5.2,32,2.05,175,8.0,0.8,7.5,0.75,62,5.0,2.0,0.625,0.625
Yuumi,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,500,69,440,45.0,330,25,4.2,25,1.1,425,5.0,0.55,10.0,0.4,49,3.1,1.0,0.625,0.625
Zac,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,685,109,0,0.0,340,33,4.7,32,2.05,175,5.0,0.5,0.0,0.0,60,3.4,1.6,0.736,0.638
Zed,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,654,99,200,0.0,345,32,4.7,29,2.05,125,7.0,0.65,50.0,0.0,63,3.4,3.3,0.651,0.651
Zeri,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,600,110,250,45.0,330,24,4.2,30,1.3,500,3.25,0.7,6.0,0.8,56,2.0,2.0,0.658,0.625
Ziggs,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,606,106,480,23.5,325,21,4.7,30,1.3,550,6.5,0.6,8.0,0.8,55,3.1,2.0,0.656,0.656
Zilean,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,574,96,452,50.0,335,24,5.0,30,1.3,550,5.5,0.5,11.35,0.8,52,3.0,2.13,0.658,0.625
Zoe,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,630,106,425,25.0,340,21,4.7,30,1.3,550,7.5,0.6,8.0,0.65,58,3.3,2.5,0.658,0.625
Zyra,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,574,93,418,25.0,340,29,4.2,30,1.3,575,5.5,0.5,7.0,0.8,53,3.2,2.11,0.681,0.625
